"","constructor_Results_ID","race_ID","constructor_ID","driver_ID","points","number","position","position_Text","status_ID"
"144",144,7,4,41,0,4,12,"R",31
"145",145,7,4,22,0,30,25,"R",5
"146",146,7,5,11,0,56,14,"R",6
"147",147,7,5,44,3,58,4,"4",15
"148",148,7,5,57,0,2,16,"R",25
"149",149,7,5,51,0,12,10,"R",6
"150",150,7,5,30,0,40,11,"R",106
"151",151,7,5,64,2,24,5,"5",15
"152",152,7,5,13,0,64,19,"R",23
"153",153,7,7,7,0,8,7,"7",18
"154",154,7,7,49,3,48,2,"2",1
"155",155,7,7,18,0,16,17,"R",5
"156",156,7,7,18,3,48,2,"2",1
"157",157,7,7,21,0,22,18,"R",5
"158",158,7,8,2,0,42,21,"R",108
"159",159,7,8,14,0,44,24,"R",7
"160",160,7,24,23,0,52,27,"W",53
"161",161,8,1,67,4,22,3,"3",1
"162",162,8,1,66,9,24,1,"1",1
"163",163,8,1,28,2,26,5,"5",12
"164",164,8,1,46,3,28,4,"4",11
"165",165,8,4,55,0,30,7,"7",12
"166",166,8,4,47,0,32,12,"12",14
"167",167,8,5,13,0,10,16,"R",3
"168",168,8,5,30,0,40,14,"14",45
"169",169,8,5,64,0,4,10,"10",13
"170",170,8,5,52,0,6,18,"R",78
"171",171,8,5,44,0,8,9,"9",13
"172",172,8,5,57,0,2,13,"13",17
"173",173,8,5,27,0,42,20,"R",92
"174",174,8,7,102,0,38,11,"11",13
"175",175,8,7,7,0,16,15,"R",3
"176",176,8,7,3,0,18,19,"R",3
"177",177,8,7,18,0,20,6,"6",12
"178",178,8,7,1,6,44,2,"2",1
"179",179,8,25,87,0,12,17,"R",119
"180",180,8,25,83,0,14,8,"8",12
"181",181,8,26,109,0,52,21,"R",67
"182",182,9,4,72,0,12,32,"R",93
"183",183,9,10,43,0,16,14,"R",3
"184",184,9,10,35,0,19,31,"R",5
"185",185,9,10,20,0,5,9,"R",20
"186",186,9,10,60,0,27,8,"8",125
"187",187,9,12,73,2,9,3,"3",1
"188",188,9,12,111,0,73,18,"R",42
"189",189,9,12,82,0,32,25,"R",78
"190",190,9,12,48,0,10,13,"R",5
"191",191,9,12,17,0,59,17,"R",8
"192",192,9,12,29,0,4,22,"R",5
"193",193,9,12,4,9,99,1,"1",1
"194",194,9,12,107,0,23,28,"R",107
"195",195,9,12,45,0,98,23,"R",5
"196",196,9,12,104,0,69,11,"R",5
"197",197,9,12,89,2,9,3,"3",1
"198",198,9,12,85,6,83,2,"2",1
"199",199,9,12,5,0,44,26,"R",119
"200",200,9,12,84,0,18,10,"R",31
"201",201,9,12,32,0,25,12,"R",5
"202",202,9,12,76,0,3,21,"R",119
"203",203,9,12,103,0,68,7,"7",17
"204",204,9,14,25,0,22,30,"R",7
"205",205,9,15,113,0,8,20,"R",42
"206",206,9,16,19,0,1,6,"6",1
"207",207,9,22,94,0,26,33,"R",7
"208",208,9,27,93,0,48,27,"R",106
"209",209,9,28,99,0,71,19,"R",8
"210",210,9,29,68,0,2,15,"R",5
"211",211,9,30,61,0,76,16,"R",107
"212",212,9,31,90,2,52,5,"5",1
"213",213,9,31,63,0,6,24,"R",25
"214",214,9,32,98,3,57,4,"4",1
"215",215,9,33,92,0,81,29,"R",44
"216",216,10,1,46,0,6,11,"R",21
"217",217,10,1,66,1,2,9,"9",14
"218",218,10,1,67,8,4,1,"1",1
"219",219,10,5,44,3,14,4,"4",12
"220",220,10,5,55,0,18,10,"R",5
"221",221,10,5,88,0,24,6,"6",13
"222",222,10,5,11,0,26,8,"8",14
"223",223,10,5,64,0,20,13,"R",7
"224",224,10,5,52,2,22,5,"5",12
"225",225,10,5,57,0,16,7,"7",13
"226",226,10,7,3,4,10,3,"3",1
"227",227,10,7,18,6,8,2,"2",1
"228",228,10,7,1,0,12,12,"R",7
"229",229,11,1,67,2,2,5,"5",14
"230",230,11,1,66,5,8,1,"1",1
"231",231,11,1,46,0,6,10,"10",122
"232",232,11,1,66,0,24,11,"11",113
"233",233,11,1,65,4,8,1,"1",1
"234",234,11,1,65,0,24,11,"11",113
"235",235,11,4,100,0,50,21,"R",5
"236",236,11,4,47,0,20,16,"R",25
"237",237,11,4,28,0,18,22,"R",7
"238",238,11,5,44,0,40,13,"R",7
"239",239,11,5,54,0,44,8,"8",18
"240",240,11,5,30,0,48,9,"9",45
"241",241,11,5,55,0,42,6,"6",16
"242",242,11,5,52,0,46,7,"7",16
"243",243,11,5,64,0,38,14,"R",5
"244",244,11,5,57,0,28,12,"R",3
"245",245,11,7,18,3,14,2,"2",1
"246",246,11,7,40,3,26,4,"4",14
"247",247,11,7,7,0,24,23,"R",5
"248",248,11,7,27,3,14,2,"2",1
"249",249,11,7,3,4,10,3,"3",13
"250",250,11,7,18,0,12,18,"R",6
"251",251,11,8,2,0,32,17,"R",5
"252",252,11,8,112,0,34,19,"R",5
"253",253,11,8,14,0,30,20,"R",5
"254",254,11,8,106,0,36,15,"R",5
"255",255,12,1,46,0,3,6,"6",16
"256",256,12,1,66,6,2,2,"2",1
"257",257,12,1,67,1,1,14,"R",8
"258",258,12,1,23,3,4,4,"4",13
"259",259,12,2,9,0,5,15,"N",60
"260",260,12,3,50,0,9,8,"8",16
"261",261,12,3,26,0,8,11,"11",18
"262",262,12,4,95,0,16,20,"R",21
"263",263,12,4,86,0,17,17,"R",44
"264",264,12,4,74,0,15,18,"R",5
"265",265,12,5,55,0,23,19,"R",23
"266",266,12,5,57,0,25,13,"13",86
"267",267,12,5,101,0,18,12,"12",19
"268",268,12,5,44,0,22,10,"10",17
"269",269,12,7,7,0,14,9,"9",17
"270",270,12,7,27,8,12,1,"1",1
"271",271,12,7,18,0,11,16,"R",6
"272",272,12,7,3,4,10,3,"3",12
"273",273,12,34,40,2,6,5,"5",15
"274",274,12,34,78,0,7,7,"7",16
"275",275,13,1,66,7,75,2,"2",1
"276",276,13,1,23,0,77,14,"R",119
"277",277,13,1,67,0,76,18,"R",25
"278",278,13,1,80,0,78,16,"R",3
"279",279,13,4,24,0,92,21,"R",5
"280",280,13,4,28,0,79,22,"R",5
"281",281,13,5,101,0,88,15,"R",51
"282",282,13,5,11,0,90,9,"9",12
"283",283,13,5,52,0,87,12,"R",3
"284",284,13,5,55,0,85,20,"R",78
"285",285,13,5,64,0,86,19,"R",6
"286",286,13,5,44,0,84,8,"8",11
"287",287,13,5,91,0,93,10,"10",12
"288",288,13,5,57,0,94,11,"11",13
"289",289,13,7,27,4,74,3,"3",1
"290",290,13,7,18,8,71,1,"1",1
"291",291,13,7,102,0,91,6,"6",11
"292",292,13,7,3,3,72,4,"4",1
"293",293,13,7,1,2,73,5,"5",1
"294",294,13,8,112,0,83,17,"R",5
"295",295,13,8,14,0,82,7,"7",11
"296",296,13,8,2,0,81,13,"R",5
"297",297,14,1,66,0,38,10,"R",5
"298",298,14,1,28,0,36,18,"R",124
"299",299,14,1,67,3,40,3,"3",11
"300",300,14,1,23,2,40,3,"3",11
"301",301,14,1,67,0,34,16,"R",5
"302",302,14,5,57,0,26,17,"R",92
"303",303,14,5,55,0,20,13,"R",78
"304",304,14,5,52,0,24,8,"8",18
"305",305,14,5,44,0,18,7,"7",17
"306",306,14,5,91,0,28,15,"R",25
"307",307,14,5,11,0,22,14,"R",5
"308",308,14,7,18,8,2,1,"1",1
"309",309,14,7,3,3,4,4,"4",11
"310",310,14,7,27,6,6,2,"2",1
"311",311,14,7,97,0,12,20,"R",7
"312",312,14,7,7,0,16,19,"R",119
"313",313,14,7,1,2,8,5,"5",12
"314",314,14,8,112,0,48,6,"6",16
"315",315,14,8,14,0,46,12,"R",5
"316",316,14,8,2,0,50,11,"R",5
"317",317,14,34,40,0,30,21,"W",53
"318",318,14,34,110,0,32,22,"W",53
"319",319,14,35,41,0,44,9,"9",52
"320",320,15,1,23,2,24,5,"5",12
"321",321,15,1,66,9,22,1,"1",1
"322",322,15,1,28,0,26,6,"6",14
"323",323,15,1,67,4,20,3,"3",1
"324",324,15,4,22,0,18,19,"R",5
"325",325,15,4,105,0,44,10,"10",86
"326",326,15,4,96,0,46,20,"W",5
"327",327,15,5,64,0,34,8,"8",17
"328",328,15,5,52,0,32,17,"R",3
"329",329,15,5,55,0,30,18,"R",78
"330",330,15,5,57,0,36,13,"R",3
"331",331,15,5,108,0,38,16,"R",5
"332",332,15,5,44,0,28,7,"7",16
"333",333,15,7,1,0,8,14,"R",36
"334",334,15,7,18,3,2,4,"4",12
"335",335,15,7,3,0,4,11,"R",78
"336",336,15,7,27,6,6,2,"2",1
"337",337,15,8,2,0,12,15,"R",5
"338",338,15,8,14,0,14,9,"9",17
"339",339,15,8,112,0,16,12,"R",5
"340",340,16,4,47,0,40,11,"R",5
"341",341,16,4,28,0,38,6,"6",14
"342",342,16,6,130,2,26,5,"5",13
"343",343,16,6,138,0,24,8,"8",17
"344",344,16,7,1,9,30,1,"1",1
"345",345,16,7,44,0,12,20,"R",3
"346",346,16,7,67,0,28,15,"R",119
"347",347,16,7,109,0,44,7,"7",16
"348",348,16,7,112,0,32,10,"R",119
"349",349,16,7,67,0,32,10,"R",119
"350",350,16,7,102,6,42,2,"2",1
"351",351,16,8,22,0,10,9,"R",5
"352",352,16,8,120,0,50,21,"R",119
"353",353,16,25,83,0,46,12,"W",53
"354",354,16,25,87,0,16,17,"R",84
"355",355,16,25,153,0,20,13,"W",53
"356",356,16,25,158,0,18,16,"R",84
"357",357,16,26,123,0,4,19,"R",93
"358",358,16,36,142,0,2,18,"R",5
"359",359,16,37,124,3,22,4,"4",12
"360",360,16,38,135,4,6,3,"3",11
"361",361,16,38,14,0,8,14,"R",21
"362",362,17,7,18,0,12,31,"R",36
"363",363,17,10,20,0,27,24,"R",51
"364",364,17,12,76,0,5,10,"10",1
"365",365,17,12,98,0,9,33,"R",92
"366",366,17,12,17,0,28,27,"R",99
"367",367,17,12,39,6,59,2,"2",1
"368",368,17,12,32,4,18,3,"3",1
"369",369,17,12,161,2,33,5,"5",1
"370",370,17,12,93,0,34,23,"R",51
"371",371,17,12,34,0,67,28,"R",43
"372",372,17,12,107,0,22,9,"9",1
"373",373,17,12,154,0,77,6,"6",1
"374",374,17,12,137,0,93,29,"R",7
"375",375,17,12,119,0,73,26,"R",24
"376",376,17,12,73,0,4,11,"11",1
"377",377,17,12,25,0,54,8,"8",1
"378",378,17,12,84,0,36,25,"R",124
"379",379,17,12,82,0,21,30,"R",124
"380",380,17,12,72,0,31,21,"21",112
"381",381,17,12,92,1,26,17,"17",38
"382",382,17,12,114,0,37,7,"7",1
"383",383,17,12,94,0,14,13,"13",1
"384",384,17,12,113,0,16,18,"18",52
"385",385,17,14,19,0,2,19,"19",114
"386",386,17,14,60,3,1,4,"4",1
"387",387,17,14,89,0,8,20,"20",114
"388",388,17,21,90,0,55,32,"R",6
"389",389,17,21,48,0,7,14,"14",1
"390",390,17,22,116,0,29,12,"12",1
"391",391,17,27,6,0,48,22,"R",44
"392",392,17,29,45,8,98,1,"1",1
"393",393,17,32,165,0,65,15,"15",13
"394",394,17,33,146,0,81,16,"16",17
"395",395,18,3,83,0,32,22,"R",5
"396",396,18,6,130,0,10,6,"6",12
"397",397,18,6,143,3,8,4,"4",11
"398",398,18,6,138,0,12,9,"9",13
"399",399,18,7,44,0,22,20,"R",7
"400",400,18,7,122,0,34,7,"7",13
"401",401,18,7,18,9,4,1,"1",1
"402",402,18,7,1,0,6,17,"R",3
"403",403,18,7,67,6,2,2,"2",1
"404",404,18,8,22,0,20,10,"10",14
"405",405,18,8,127,0,44,14,"14",16
"406",406,18,25,158,0,26,21,"R",84
"407",407,18,25,140,0,42,15,"15",16
"408",408,18,25,150,0,30,12,"12",14
"409",409,18,25,166,2,28,5,"5",12
"410",410,18,25,153,0,24,11,"11",14
"411",411,18,26,151,0,38,13,"13",15
"412",412,18,37,124,0,36,19,"R",20
"413",413,18,38,14,4,14,3,"3",1
"414",414,18,38,135,0,16,18,"R",3
"415",415,18,38,57,0,18,8,"8",13
"416",416,18,39,157,0,40,16,"R",5
"417",417,19,2,7,0,26,16,"R",8
"418",418,19,4,47,0,16,15,"R",23
"419",419,19,4,28,0,16,15,"R",23
"420",420,19,4,64,0,28,8,"8",17
"421",421,19,4,47,0,18,19,"R",6
"422",422,19,6,143,0,42,14,"R",78
"423",423,19,7,1,4,12,3,"3",12
"424",424,19,7,67,6,10,2,"2",11
"425",425,19,7,18,9,8,1,"1",1
"426",426,19,7,109,0,34,11,"11",45
"427",427,19,7,58,0,38,12,"12",109
"428",428,19,7,44,0,14,17,"R",5
"429",429,19,7,156,0,40,20,"R",5
"430",430,19,7,102,0,34,11,"11",45
"431",431,19,8,2,2,44,5,"5",15
"432",432,19,8,57,0,32,18,"R",5
"433",433,19,25,158,0,22,6,"6",17
"434",434,19,25,52,0,24,10,"10",19
"435",435,19,25,153,0,20,9,"9",17
"436",436,19,38,14,3,2,4,"4",13
"437",437,19,38,135,0,4,7,"7",17
"438",438,19,38,22,0,6,13,"R",107
"439",439,20,2,141,0,1,12,"12",15
"440",440,20,3,83,0,12,25,"R",5
"441",441,20,4,155,0,35,31,"R",23
"442",442,20,4,136,0,34,18,"18",18
"443",443,20,4,28,0,32,19,"19",19
"444",444,20,4,47,0,33,17,"17",17
"445",445,20,6,138,0,10,20,"20",19
"446",446,20,6,74,0,7,28,"R",5
"447",447,20,6,143,4,9,3,"3",12
"448",448,20,6,40,0,8,7,"7",13
"449",449,20,6,130,0,11,22,"22",114
"450",450,20,7,18,9,15,1,"1",1
"451",451,20,7,117,0,14,8,"8",13
"452",452,20,7,7,0,21,10,"10",14
"453",453,20,7,1,6,17,2,"2",11
"454",454,20,7,67,0,16,6,"6",13
"455",455,20,7,109,0,20,30,"R",23
"456",456,20,7,102,0,19,13,"13",15
"457",457,20,8,57,0,27,14,"14",16
"458",458,20,25,101,0,30,24,"R",5
"459",459,20,25,140,0,28,27,"R",5
"460",460,20,25,158,0,29,23,"R",78
"461",461,20,25,153,0,31,15,"15",16
"462",462,20,37,160,0,23,21,"21",86
"463",463,20,38,2,0,25,26,"R",6
"464",464,20,38,14,0,24,29,"R",8
"465",465,20,38,22,0,26,11,"11",14
"466",466,20,39,131,0,2,32,"W",53
"467",467,20,40,162,0,4,9,"9",13
"468",468,20,40,125,0,3,16,"16",16
"469",469,20,40,121,2,5,5,"5",13
"470",470,20,40,129,3,6,4,"4",12
"471",471,21,4,23,0,105,25,"D",2
"472",472,21,4,136,0,115,30,"R",31
"473",473,21,4,155,0,116,19,"R",107
"474",474,21,7,118,0,118,21,"R",22
"475",475,21,7,1,3,103,4,"4",11
"476",476,21,7,150,0,119,6,"6",12
"477",477,21,7,102,4,117,3,"3",1
"478",478,21,7,156,0,104,29,"R",23
"479",479,21,7,18,9,101,1,"1",1
"480",480,21,7,67,6,102,2,"2",1
