"","constructor_ID","constructor_name","constructor_abbr","nationality"
"1",1,"Alfa Romeo","alfa","Swiss"
"2",2,"Alta","alta","British"
"3",3,"ERA","era","British"
"4",4,"Maserati","maserati","Italian"
"5",5,"Talbot-Lago","lago","French"
"6",6,"Cooper","cooper","British"
"7",7,"Ferrari","ferrari","Italian"
"8",8,"Simca","simca","French"
"9",9,"Adams","adams","American"
"10",10,"Deidt","deidt","American"
"11",11,"Ewing","ewing","American"
"12",12,"Kurtis Kraft","kurtis_kraft","American"
"13",13,"Langley","langley","American"
"14",14,"Lesovsky","lesovsky","American"
"15",15,"Marchese","marchese","American"
"16",16,"Moore","moore","American"
"17",17,"Nichels","nichels","American"
"18",18,"Olson","olson","American"
"19",19,"Rae","rae","American"
"20",20,"Snowberger","snowberger","American"
"21",21,"Stevens","stevens","American"
"22",22,"Watson","watson","American"
"23",23,"Wetteroth","wetteroth","American"
"24",24,"Milano","milano","Italian"
"25",25,"HWM","hwm","British"
"26",26,"Veritas","veritas","German"
"27",27,"Bromme","bromme","American"
"28",28,"Hall","hall","American"
"29",29,"Kuzma","kuzma","American"
"30",30,"Pawl","pawl","American"
"31",31,"Schroeder","schroeder","American"
"32",32,"Sherman","sherman","American"
"33",33,"Trevis","trevis","American"
"34",34,"BRM","brm","British"
"35",35,"OSCA","osca","Italian"
"36",36,"AFM","afm","German"
"37",37,"Frazer Nash","frazer_nash","British"
"38",38,"Gordini","gordini","French"
"39",39,"Aston Butterworth","butterworth","British"
"40",40,"Connaught","connaught","British"
"41",41,"BMW","bmw","German"
"42",42,"Cisitalia","cisitalia","Italian"
"43",43,"Del Roy","del_roy","American"
"44",44,"Turner","turner","American"
"45",45,"EMW","emw","East German"
"46",46,"Pankratz","pankratz","American"
"47",47,"Phillips","phillips","American"
"48",48,"Mercedes","mercedes","German"
"49",49,"Vanwall","vanwall","British"
"50",50,"Klenk","klenk","German"
"51",51,"Lancia","lancia","Italian"
"52",52,"Epperly","epperly","American"
"53",53,"Arzani-Volpini","arzani-volpini","Italian"
"54",54,"Bugatti","bugatti","French"
"55",55,"Emeryson","emeryson","British"
"56",56,"Dunn","dunn","American"
"57",57,"Porsche","porsche","German"
"58",58,"Team Lotus","team_lotus","British"
"59",59,"Cooper-Climax","cooper-climax","British"
"60",60,"Cooper-Maserati","cooper-maserati","British"
"61",61,"Christensen","vhristensen","American"
"62",62,"Elder","elder","American"
"63",63,"Sutton","sutton","American"
"64",64,"Aston Martin","aston_martin","British"
"65",65,"Cooper-Borgward","cooper-borgward","British"
"66",66,"Fry","fry","British"
"67",67,"JBW","jbw","British"
"68",68,"Cooper-OSCA","cooper-osca","British"
"69",69,"Tec-Mec","tec-mec","Italian"
"70",70,"Behra-Porsche","behra-porsche","Italian"
"71",71,"Cooper-Castellotti","cooper-castellotti","British"
"72",72,"Scarab","scarab","American"
"73",73,"Meskowski","meskowski","American"
"74",74,"Lotus-Climax","lotus-climax","British"
"75",75,"De Tomaso-Osca","de_tomaso-osca","Italian"
