"driver_Standings_ID","race_ID","driver_ID","points","position","position_Text","wins","constructor_ID"
163,4,63,0,69,"69",0,1
164,4,70,0,34,"34",0,1
165,4,3,0,48,"48",0,1
166,4,52,3,13,"13",0,1
167,4,7,0,59,"59",0,1
168,4,64,0,25,"25",0,1
169,4,23,2,15,"15",0,1
170,4,19,0,70,"70",0,1
171,4,37,0,46,"46",0,1
172,4,35,0,36,"36",0,1
173,4,25,0,27,"27",0,1
174,4,48,0,62,"62",0,1
175,4,10,0,60,"60",0,1
176,4,56,1,17,"17",0,1
177,4,79,0,61,"61",0,1
178,4,57,0,21,"21",0,1
179,4,65,12,2,"2",0,1
180,4,34,0,39,"39",0,1
181,4,33,0,22,"22",0,1
182,4,72,0,41,"41",0,1
183,4,16,0,45,"45",0,1
184,4,32,0,67,"67",0,1
185,4,50,0,32,"32",0,1
186,4,77,0,29,"29",0,1
187,4,27,0,49,"49",0,1
188,4,51,3,12,"12",0,1
189,4,59,0,54,"54",0,1
190,4,9,0,50,"50",0,1
191,4,69,0,30,"30",0,1
192,4,41,0,56,"56",0,1
193,4,44,6,7,"7",0,1
194,5,3,0,19,"19",0,1
195,5,67,22,1,"1",2,1
196,5,25,0,29,"29",0,1
197,5,18,8,6,"6",0,1
198,5,35,0,39,"39",0,1
199,5,5,0,45,"45",0,1
200,5,63,0,71,"71",0,1
201,5,65,18,2,"2",0,1
202,5,14,0,55,"55",0,1
203,5,70,0,37,"37",0,1
204,5,66,17,3,"3",2,1
205,5,22,5,8,"8",0,1
206,5,31,0,31,"31",0,1
207,5,51,3,12,"12",0,1
208,5,48,0,64,"64",0,1
209,5,74,0,56,"56",0,1
210,5,71,0,35,"35",0,1
211,5,41,0,58,"58",0,1
212,5,4,0,21,"21",0,1
213,5,56,1,17,"17",0,1
214,5,7,0,61,"61",0,1
215,5,8,0,68,"68",0,1
216,5,44,10,4,"4",0,1
217,5,76,9,5,"5",1,1
218,5,10,0,62,"62",0,1
219,5,36,6,7,"7",0,1
220,5,37,0,49,"49",0,1
221,5,54,0,52,"52",0,1
222,5,17,0,67,"67",0,1
223,5,42,0,59,"59",0,1
224,5,62,0,70,"70",0,1
225,5,28,0,20,"20",0,1
226,5,50,0,36,"36",0,1
227,5,43,4,11,"11",0,1
228,5,47,0,28,"28",0,1
229,5,2,0,57,"57",0,1
230,5,23,2,15,"15",0,1
231,5,52,3,13,"13",0,1
232,5,19,0,72,"72",0,1
233,5,68,0,24,"24",0,1
234,5,59,0,30,"30",0,1
235,5,57,0,22,"22",0,1
236,5,38,0,47,"47",0,1
237,5,29,3,14,"14",0,1
238,5,34,0,42,"42",0,1
239,5,69,0,34,"34",0,1
240,5,73,0,40,"40",0,1
241,5,24,0,33,"33",0,1
242,5,55,4,9,"9",0,1
243,5,45,0,41,"41",0,1
244,5,12,0,66,"66",0,1
245,5,16,0,48,"48",0,1
246,5,75,0,26,"26",0,1
247,5,9,0,53,"53",0,1
248,5,15,0,54,"54",0,1
249,5,11,0,25,"25",0,1
250,5,6,0,46,"46",0,1
251,5,53,0,65,"65",0,1
252,5,72,0,44,"44",0,1
253,5,79,0,63,"63",0,1
254,5,78,0,60,"60",0,1
255,5,39,0,50,"50",0,1
256,5,61,0,43,"43",0,1
257,5,64,0,27,"27",0,1
258,5,26,0,18,"18",0,1
259,5,20,1,16,"16",0,1
260,5,27,0,51,"51",0,1
261,5,32,0,69,"69",0,1
262,5,33,0,23,"23",0,1
263,5,60,0,38,"38",0,1
264,5,77,0,32,"32",0,1
265,5,40,4,10,"10",0,1
266,6,42,0,61,"61",0,1
267,6,14,3,15,"15",0,1
268,6,51,3,14,"14",0,1
269,6,26,0,22,"22",0,1
270,6,7,4,11,"11",0,1
271,6,56,1,21,"21",0,1
272,6,29,3,16,"16",0,1
273,6,4,0,26,"26",0,1
274,6,31,0,35,"35",0,1
275,6,57,0,27,"27",0,1
276,6,81,0,25,"25",0,1
277,6,53,0,66,"66",0,1
278,6,12,0,67,"67",0,1
279,6,34,0,46,"46",0,1
280,6,2,0,60,"60",0,1
281,6,75,0,31,"31",0,1
282,6,17,0,68,"68",0,1
283,6,11,0,28,"28",0,1
284,6,71,0,39,"39",0,1
285,6,78,0,62,"62",0,1
286,6,37,0,53,"53",0,1
287,6,35,0,43,"43",0,1
288,6,43,4,12,"12",0,1
289,6,60,0,42,"42",0,1
290,6,6,0,50,"50",0,1
291,6,16,0,52,"52",0,1
292,6,3,0,23,"23",0,1
293,6,39,0,54,"54",0,1
294,6,27,0,55,"55",0,1
295,6,72,0,48,"48",0,1
296,6,44,10,4,"4",0,1
297,6,68,0,30,"30",0,1
298,6,19,0,73,"73",0,1
299,6,54,1,19,"19",0,1
300,6,8,0,69,"69",0,1
301,6,48,0,65,"65",0,1
302,6,18,8,6,"6",0,1
303,6,73,0,44,"44",0,1
304,6,52,3,13,"13",0,1
305,6,15,0,58,"58",0,1
306,6,47,0,32,"32",0,1
307,6,74,0,59,"59",0,1
308,6,25,0,33,"33",0,1
309,6,33,0,29,"29",0,1
310,6,32,0,70,"70",0,1
311,6,10,0,63,"63",0,1
312,6,24,0,37,"37",0,1
313,6,40,4,10,"10",0,1
314,6,20,1,20,"20",0,1
315,6,61,0,47,"47",0,1
316,6,65,24,2,"2",0,1
317,6,9,0,56,"56",0,1
318,6,55,4,9,"9",0,1
319,6,23,2,17,"17",0,1
320,6,77,0,36,"36",0,1
321,6,50,0,40,"40",0,1
322,6,22,5,8,"8",0,1
323,6,64,1,18,"18",0,1
324,6,45,0,45,"45",0,1
325,6,70,0,41,"41",0,1
326,6,63,0,72,"72",0,1
327,6,38,0,51,"51",0,1
328,6,41,0,57,"57",0,1
329,6,62,0,71,"71",0,1
330,6,79,0,64,"64",0,1
331,6,76,9,5,"5",1,1
332,6,69,0,38,"38",0,1
333,6,67,22,3,"3",2,1
334,6,59,0,34,"34",0,1
335,6,28,0,24,"24",0,1
336,6,5,0,49,"49",0,1
337,6,66,26,1,"1",3,1
338,6,36,6,7,"7",0,1
339,7,49,3,13,"13",0,1
340,7,17,0,76,"76",0,1
341,7,78,0,68,"68",0,1
342,7,73,0,45,"45",0,1
343,7,47,0,33,"33",0,1
344,7,41,0,59,"59",0,1
345,7,74,0,56,"56",0,1
346,7,71,0,40,"40",0,1
347,7,38,0,52,"52",0,1
348,7,29,3,17,"17",0,1
349,7,16,0,53,"53",0,1
350,7,5,0,50,"50",0,1
351,7,11,0,29,"29",0,1
352,7,6,0,51,"51",0,1
353,7,44,13,4,"4",0,1
354,7,69,0,39,"39",0,1
355,7,14,3,16,"16",0,1
356,7,18,11,5,"5",0,1
357,7,50,0,41,"41",0,1
358,7,10,0,69,"69",0,1
359,7,53,0,74,"74",0,1
360,7,48,0,73,"73",0,1
361,7,43,4,12,"12",0,1
362,7,31,0,36,"36",0,1
363,7,23,2,19,"19",0,1
364,7,65,24,3,"3",0,1
365,7,32,0,78,"78",0,1
366,7,4,0,27,"27",0,1
367,7,52,3,14,"14",0,1
368,7,21,0,64,"64",0,1
369,7,51,3,15,"15",0,1
370,7,33,0,30,"30",0,1
371,7,54,1,20,"20",0,1
372,7,61,0,48,"48",0,1
373,7,70,0,42,"42",0,1
374,7,3,0,25,"25",0,1
375,7,2,0,63,"63",0,1
376,7,39,0,55,"55",0,1
377,7,20,1,21,"21",0,1
378,7,72,0,49,"49",0,1
379,7,64,3,18,"18",0,1
380,7,80,0,72,"72",0,1
381,7,40,4,11,"11",0,1
382,7,22,5,8,"8",0,1
383,7,13,0,65,"65",0,1
384,7,26,0,24,"24",0,1
385,7,46,0,71,"71",0,1
386,7,7,4,9,"9",0,1
387,7,42,0,67,"67",0,1
388,7,67,30,1,"1",3,1
389,7,19,0,81,"81",0,1
390,7,12,0,75,"75",0,1
391,7,34,0,47,"47",0,1
392,7,55,4,10,"10",0,1
393,7,77,0,37,"37",0,1
394,7,68,0,31,"31",0,1
395,7,63,0,80,"80",0,1
396,7,24,0,38,"38",0,1
397,7,79,0,70,"70",0,1
398,7,58,0,66,"66",0,1
399,7,36,6,7,"7",0,1
400,7,27,0,57,"57",0,1
401,7,1,0,61,"61",0,1
402,7,9,0,60,"60",0,1
403,7,62,0,79,"79",0,1
404,7,25,0,34,"34",0,1
405,7,8,0,77,"77",0,1
406,7,30,0,58,"58",0,1
407,7,56,1,22,"22",0,1
408,7,37,0,54,"54",0,1
409,7,81,0,26,"26",0,1
410,7,35,0,44,"44",0,1
411,7,45,0,46,"46",0,1
412,7,76,9,6,"6",1,1
413,7,66,27,2,"2",3,1
414,7,59,0,35,"35",0,1
415,7,75,0,32,"32",0,1
416,7,28,0,23,"23",0,1
417,7,15,0,62,"62",0,1
418,7,57,0,28,"28",0,1
419,7,60,0,43,"43",0,1
420,8,13,0,16,"16",0,1
421,8,1,6,2,"2",0,1
422,8,109,0,21,"21",0,1
423,8,18,0,6,"6",0,1
424,8,55,0,7,"7",0,1
425,8,52,0,18,"18",0,1
426,8,30,0,14,"14",0,1
427,8,67,4,3,"3",0,1
428,8,46,3,4,"4",0,1
429,8,57,0,13,"13",0,1
430,8,102,0,11,"11",0,1
431,8,27,0,20,"20",0,1
432,8,47,0,12,"12",0,1
433,8,64,0,10,"10",0,1
434,8,87,0,17,"17",0,1
435,8,83,0,8,"8",0,1
436,8,28,2,5,"5",0,1
437,8,44,0,9,"9",0,1
438,8,3,0,19,"19",0,1
439,8,7,0,15,"15",0,1
440,8,66,9,1,"1",1,1
441,9,94,0,55,"55",0,1
442,9,46,3,7,"7",0,1
443,9,19,0,13,"13",0,1
444,9,55,0,14,"14",0,1
445,9,76,0,43,"43",0,1
446,9,29,0,44,"44",0,1
447,9,52,0,36,"36",0,1
448,9,30,0,23,"23",0,1
449,9,47,0,21,"21",0,1
450,9,82,0,47,"47",0,1
451,9,99,0,38,"38",0,1
452,9,13,0,33,"33",0,1
453,9,17,0,35,"35",0,1
454,9,85,6,3,"3",0,1
455,9,45,0,45,"45",0,1
456,9,92,0,51,"51",0,1
457,9,64,0,19,"19",0,1
458,9,111,0,37,"37",0,1
459,9,104,0,26,"26",0,1
460,9,90,2,9,"9",0,1
461,9,27,0,40,"40",0,1
462,9,48,0,28,"28",0,1
463,9,103,0,15,"15",0,1
464,9,67,4,5,"5",0,1
465,9,20,0,24,"24",0,1
466,9,57,0,22,"22",0,1
467,9,72,0,54,"54",0,1
468,9,113,0,41,"41",0,1
469,9,63,0,46,"46",0,1
470,9,32,0,27,"27",0,1
471,9,87,0,34,"34",0,1
472,9,5,0,48,"48",0,1
473,9,7,0,31,"31",0,1
474,9,109,0,42,"42",0,1
475,9,60,0,16,"16",0,1
476,9,89,2,11,"11",0,1
477,9,83,0,17,"17",0,1
478,9,43,0,29,"29",0,1
479,9,61,0,32,"32",0,1
480,9,3,0,39,"39",0,1
481,9,73,2,8,"8",0,1
482,9,93,0,49,"49",0,1
483,9,98,3,6,"6",0,1
484,9,25,0,52,"52",0,1
485,9,18,0,12,"12",0,1
486,9,44,0,18,"18",0,1
487,9,66,9,1,"1",1,1
488,9,35,0,53,"53",0,1
489,9,1,6,4,"4",0,1
490,9,28,2,10,"10",0,1
491,9,84,0,25,"25",0,1
492,9,68,0,30,"30",0,1
493,9,107,0,50,"50",0,1
494,9,4,9,2,"2",1,1
495,9,102,0,20,"20",0,1
496,10,7,0,35,"35",0,1
497,10,45,0,47,"47",0,1
498,10,35,0,55,"55",0,1
499,10,61,0,36,"36",0,1
500,10,84,0,29,"29",0,1
501,10,63,0,48,"48",0,1
502,10,20,0,28,"28",0,1
503,10,27,0,42,"42",0,1
504,10,44,3,8,"8",0,1
505,10,83,0,23,"23",0,1
506,10,19,0,16,"16",0,1
507,10,3,4,7,"7",0,1
508,10,4,9,3,"3",1,1
509,10,52,2,12,"12",0,1
510,10,93,0,51,"51",0,1
511,10,48,0,32,"32",0,1
512,10,60,0,21,"21",0,1
513,10,109,0,44,"44",0,1
514,10,43,0,33,"33",0,1
515,10,28,2,14,"14",0,1
516,10,25,0,54,"54",0,1
517,10,46,3,9,"9",0,1
518,10,107,0,52,"52",0,1
519,10,88,0,17,"17",0,1
520,10,68,0,34,"34",0,1
521,10,1,6,5,"5",0,1
522,10,55,0,19,"19",0,1
523,10,94,0,57,"57",0,1
524,10,90,2,13,"13",0,1
525,10,11,0,22,"22",0,1
526,10,64,0,24,"24",0,1
527,10,76,0,45,"45",0,1
528,10,66,10,2,"2",1,1
529,10,30,0,27,"27",0,1
530,10,98,3,10,"10",0,1
531,10,17,0,39,"39",0,1
532,10,13,0,37,"37",0,1
533,10,113,0,43,"43",0,1
534,10,47,0,26,"26",0,1
535,10,5,0,50,"50",0,1
536,10,29,0,46,"46",0,1
537,10,72,0,56,"56",0,1
538,10,87,0,38,"38",0,1
539,10,103,0,20,"20",0,1
540,10,82,0,49,"49",0,1
541,10,111,0,40,"40",0,1
542,10,85,6,6,"6",0,1
543,10,89,2,15,"15",0,1
544,10,67,12,1,"1",1,1
545,10,102,0,25,"25",0,1
546,10,73,2,11,"11",0,1
547,10,104,0,30,"30",0,1
548,10,92,0,53,"53",0,1
549,10,57,0,18,"18",0,1
550,10,99,0,41,"41",0,1
551,10,32,0,31,"31",0,1
552,10,18,6,4,"4",0,1
553,11,30,0,28,"28",0,1
554,11,44,3,10,"10",0,1
555,11,48,0,36,"36",0,1
556,11,89,2,18,"18",0,1
557,11,43,0,37,"37",0,1
558,11,57,0,22,"22",0,1
559,11,45,0,55,"55",0,1
560,11,63,0,56,"56",0,1
561,11,35,0,63,"63",0,1
562,11,14,0,49,"49",0,1
563,11,2,0,45,"45",0,1
564,11,20,0,32,"32",0,1
565,11,7,0,38,"38",0,1
566,11,94,0,65,"65",0,1
567,11,54,0,25,"25",0,1
568,11,111,0,46,"46",0,1
569,11,68,0,39,"39",0,1
570,11,93,0,59,"59",0,1
571,11,17,0,44,"44",0,1
572,11,32,0,35,"35",0,1
573,11,1,6,6,"6",0,1
574,11,90,2,17,"17",0,1
575,11,29,0,54,"54",0,1
576,11,47,0,31,"31",0,1
577,11,73,2,14,"14",0,1
578,11,18,9,4,"4",0,1
579,11,64,0,29,"29",0,1
580,11,109,0,51,"51",0,1
581,11,103,0,23,"23",0,1
582,11,5,0,58,"58",0,1
583,11,102,0,30,"30",0,1
584,11,27,3,9,"9",0,1
585,11,60,0,24,"24",0,1
586,11,55,0,19,"19",0,1
587,11,25,0,62,"62",0,1
588,11,40,3,13,"13",0,1
589,11,112,0,48,"48",0,1
590,11,61,0,41,"41",0,1
591,11,113,0,50,"50",0,1
592,11,99,0,47,"47",0,1
593,11,82,0,57,"57",0,1
594,11,84,0,33,"33",0,1
595,11,83,0,27,"27",0,1
596,11,67,14,2,"2",1,1
597,11,88,0,21,"21",0,1
598,11,72,0,64,"64",0,1
599,11,76,0,53,"53",0,1
600,11,87,0,43,"43",0,1
601,11,107,0,60,"60",0,1
602,11,3,8,5,"5",0,1
603,11,66,15,1,"1",2,1
604,11,100,0,52,"52",0,1
605,11,46,3,11,"11",0,1
606,11,85,6,7,"7",0,1
607,11,106,0,40,"40",0,1
608,11,52,2,15,"15",0,1
609,11,92,0,61,"61",0,1
610,11,4,9,3,"3",1,1
611,11,28,2,16,"16",0,1
612,11,104,0,34,"34",0,1
613,11,65,4,8,"8",1,1
614,11,98,3,12,"12",0,1
615,11,13,0,42,"42",0,1
616,11,19,0,20,"20",0,1
617,11,11,0,26,"26",0,1
618,12,88,0,22,"22",0,1
619,12,35,0,72,"72",0,1
620,12,101,0,37,"37",0,1
621,12,45,0,64,"64",0,1
622,12,95,0,57,"57",0,1
623,12,4,9,5,"5",1,1
624,12,72,0,73,"73",0,1
625,12,25,0,71,"71",0,1
626,12,98,3,14,"14",0,1
627,12,92,0,70,"70",0,1
628,12,18,9,6,"6",0,1
629,12,104,0,40,"40",0,1
630,12,44,3,12,"12",0,1
631,12,3,12,3,"3",0,1
632,12,102,0,34,"34",0,1
633,12,14,0,58,"58",0,1
634,12,23,3,13,"13",0,1
635,12,66,21,1,"1",2,1
636,12,89,2,19,"19",0,1
637,12,60,0,26,"26",0,1
638,12,48,0,42,"42",0,1
639,12,54,0,27,"27",0,1
640,12,20,0,38,"38",0,1
641,12,93,0,68,"68",0,1
642,12,19,0,21,"21",0,1
643,12,73,2,15,"15",0,1
644,12,32,0,41,"41",0,1
645,12,86,0,51,"51",0,1
646,12,11,0,28,"28",0,1
647,12,47,0,36,"36",0,1
648,12,55,0,20,"20",0,1
649,12,87,0,49,"49",0,1
650,12,28,2,17,"17",0,1
651,12,30,0,31,"31",0,1
652,12,103,0,24,"24",0,1
653,12,82,0,66,"66",0,1
654,12,9,0,46,"46",0,1
655,12,46,3,11,"11",0,1
656,12,65,4,10,"10",1,1
657,12,107,0,69,"69",0,1
658,12,27,11,4,"4",1,1
659,12,85,6,8,"8",0,1
660,12,50,0,30,"30",0,1
661,12,43,0,43,"43",0,1
662,12,68,0,44,"44",0,1
663,12,5,0,67,"67",0,1
664,12,106,0,45,"45",0,1
665,12,63,0,65,"65",0,1
666,12,99,0,55,"55",0,1
667,12,113,0,59,"59",0,1
668,12,40,5,9,"9",0,1
669,12,94,0,74,"74",0,1
670,12,112,0,56,"56",0,1
671,12,61,0,47,"47",0,1
672,12,29,0,63,"63",0,1
673,12,7,0,32,"32",0,1
674,12,90,2,18,"18",0,1
675,12,74,0,53,"53",0,1
676,12,100,0,61,"61",0,1
677,12,78,0,25,"25",0,1
678,12,109,0,60,"60",0,1
679,12,111,0,54,"54",0,1
680,12,17,0,50,"50",0,1
681,12,64,0,33,"33",0,1
682,12,57,0,23,"23",0,1
683,12,2,0,52,"52",0,1
684,12,1,6,7,"7",0,1
685,12,26,0,35,"35",0,1
686,12,67,15,2,"2",1,1
687,12,84,0,39,"39",0,1
688,12,76,0,62,"62",0,1
689,12,83,0,29,"29",0,1
690,12,52,2,16,"16",0,1
691,12,13,0,48,"48",0,1
692,13,104,0,42,"42",0,1
693,13,78,0,27,"27",0,1
694,13,92,0,73,"73",0,1
695,13,23,3,13,"13",0,1
696,13,55,0,20,"20",0,1
697,13,102,0,21,"21",0,1
698,13,100,0,64,"64",0,1
699,13,89,2,19,"19",0,1
700,13,4,9,6,"6",1,1
701,13,26,0,37,"37",0,1
702,13,86,0,56,"56",0,1
703,13,66,27,1,"1",2,1
704,13,64,0,35,"35",0,1
705,13,29,0,66,"66",0,1
706,13,95,0,60,"60",0,1
707,13,9,0,49,"49",0,1
708,13,5,0,70,"70",0,1
709,13,7,0,34,"34",0,1
710,13,61,0,50,"50",0,1
711,13,46,3,11,"11",0,1
712,13,68,0,47,"47",0,1
713,13,2,0,44,"44",0,1
714,13,109,0,63,"63",0,1
715,13,35,0,75,"75",0,1
716,13,18,17,2,"2",1,1
717,13,65,4,10,"10",1,1
718,13,30,0,33,"33",0,1
719,13,113,0,61,"61",0,1
720,13,3,15,5,"5",0,1
721,13,91,0,36,"36",0,1
722,13,87,0,54,"54",0,1
723,13,14,0,25,"25",0,1
724,13,106,0,48,"48",0,1
725,13,32,0,43,"43",0,1
726,13,103,0,26,"26",0,1
727,13,85,6,8,"8",0,1
728,13,72,0,76,"76",0,1
729,13,80,0,52,"52",0,1
730,13,27,15,3,"3",1,1
731,13,112,0,53,"53",0,1
732,13,50,0,32,"32",0,1
733,13,90,2,18,"18",0,1
734,13,44,3,12,"12",0,1
735,13,98,3,14,"14",0,1
736,13,47,0,39,"39",0,1
737,13,13,0,51,"51",0,1
738,13,60,0,29,"29",0,1
739,13,52,2,16,"16",0,1
740,13,76,0,65,"65",0,1
741,13,67,15,4,"4",1,1
742,13,48,0,45,"45",0,1
743,13,28,2,17,"17",0,1
744,13,82,0,69,"69",0,1
745,13,107,0,72,"72",0,1
746,13,43,0,46,"46",0,1
747,13,17,0,55,"55",0,1
748,13,1,8,7,"7",0,1
749,13,24,0,62,"62",0,1
750,13,84,0,41,"41",0,1
751,13,74,0,57,"57",0,1
752,13,93,0,71,"71",0,1
753,13,73,2,15,"15",0,1
754,13,19,0,22,"22",0,1
755,13,11,0,28,"28",0,1
756,13,88,0,23,"23",0,1
757,13,20,0,40,"40",0,1
758,13,83,0,31,"31",0,1
759,13,25,0,74,"74",0,1
760,13,54,0,30,"30",0,1
761,13,111,0,58,"58",0,1
762,13,101,0,38,"38",0,1
763,13,94,0,77,"77",0,1
764,13,57,0,24,"24",0,1
765,13,99,0,59,"59",0,1
766,13,63,0,68,"68",0,1
767,13,40,5,9,"9",0,1
768,13,45,0,67,"67",0,1
769,14,91,0,38,"38",0,1
770,14,14,0,26,"26",0,1
771,14,107,0,75,"75",0,1
772,14,84,0,43,"43",0,1
773,14,23,5,9,"9",0,1
774,14,45,0,70,"70",0,1
775,14,104,0,45,"45",0,1
776,14,101,0,40,"40",0,1
777,14,43,0,48,"48",0,1
778,14,54,0,31,"31",0,1
779,14,112,0,22,"22",0,1
780,14,80,0,54,"54",0,1
781,14,18,25,2,"2",2,1
782,14,27,21,3,"3",1,1
783,14,100,0,66,"66",0,1
784,14,52,2,16,"16",0,1
785,14,17,0,56,"56",0,1
786,14,61,0,52,"52",0,1
787,14,109,0,65,"65",0,1
788,14,25,0,77,"77",0,1
789,14,111,0,59,"59",0,1
790,14,48,0,47,"47",0,1
791,14,44,3,13,"13",0,1
792,14,73,2,15,"15",0,1
793,14,46,3,12,"12",0,1
794,14,63,0,71,"71",0,1
795,14,1,10,6,"6",0,1
796,14,65,4,11,"11",1,1
797,14,9,0,51,"51",0,1
798,14,4,9,7,"7",1,1
799,14,88,0,24,"24",0,1
800,14,86,0,57,"57",0,1
801,14,55,0,20,"20",0,1
802,14,7,0,35,"35",0,1
803,14,110,0,69,"69",0,1
804,14,68,0,49,"49",0,1
805,14,72,0,79,"79",0,1
806,14,11,0,29,"29",0,1
807,14,40,5,10,"10",0,1
808,14,78,0,28,"28",0,1
809,14,94,0,80,"80",0,1
810,14,98,3,14,"14",0,1
811,14,87,0,55,"55",0,1
812,14,99,0,60,"60",0,1
813,14,103,0,27,"27",0,1
814,14,2,0,44,"44",0,1
815,14,106,0,50,"50",0,1
816,14,47,0,41,"41",0,1
817,14,50,0,33,"33",0,1
818,14,30,0,34,"34",0,1
