"constructor_Standings_ID","race_ID","constructor_ID","points","position","position_Text","wins"
167,83,64,0,5,"5",0
168,83,65,0,8,"8",0
169,83,66,0,12,"12",0
170,83,67,0,10,"10",0
171,84,4,0,9,"9",0
172,84,7,32,2,"2",2
173,84,12,0,7,"7",0
174,84,34,18,3,"3",1
175,84,40,0,13,"13",0
176,84,49,0,15,"15",0
177,84,57,0,8,"8",0
178,84,58,5,4,"4",0
179,84,59,40,1,"1",5
180,84,60,0,6,"6",0
181,84,64,0,5,"5",0
182,84,65,0,10,"10",0
183,84,66,0,16,"16",0
184,84,67,0,14,"14",0
185,84,68,0,11,"11",0
186,84,69,0,12,"12",0
187,85,4,0,7,"7",0
188,85,7,6,2,"2",0
189,85,34,0,5,"5",0
190,85,58,1,4,"4",0
191,85,59,8,1,"1",1
192,85,60,3,3,"3",0
193,85,70,0,6,"6",0
194,86,4,0,7,"7",0
195,86,7,10,2,"2",0
196,86,34,2,5,"5",0
197,86,58,9,3,"3",1
198,86,59,14,1,"1",1
199,86,60,3,4,"4",0
200,86,67,0,8,"8",0
201,86,70,0,6,"6",0
202,86,71,0,10,"10",0
203,86,72,0,9,"9",0
204,87,4,0,7,"7",0
205,87,7,10,2,"2",0
206,87,34,2,5,"5",0
207,87,58,9,3,"3",1
208,87,59,14,1,"1",1
209,87,60,3,4,"4",0
210,87,67,0,8,"8",0
211,87,70,0,6,"6",0
212,87,71,0,10,"10",0
213,87,72,0,9,"9",0
214,88,4,0,7,"7",0
215,88,7,12,3,"3",0
216,88,34,6,4,"4",0
217,88,58,15,2,"2",1
218,88,59,22,1,"1",2
219,88,60,3,5,"5",0
220,88,64,0,8,"8",0
221,88,67,0,9,"9",0
222,88,70,0,6,"6",0
223,88,71,0,11,"11",0
224,88,72,0,10,"10",0
225,89,4,0,7,"7",0
226,89,7,15,3,"3",0
227,89,34,6,4,"4",0
228,89,58,17,2,"2",1
229,89,59,30,1,"1",3
230,89,60,3,5,"5",0
231,89,64,0,9,"9",0
232,89,67,0,10,"10",0
233,89,70,0,6,"6",0
234,89,71,0,11,"11",0
235,89,72,0,8,"8",0
236,90,4,0,7,"7",0
237,90,7,15,3,"3",0
238,90,34,6,4,"4",0
239,90,49,0,11,"11",0
240,90,58,19,2,"2",1
241,90,59,38,1,"1",4
242,90,60,3,5,"5",0
243,90,64,0,10,"10",0
244,90,67,0,12,"12",0
245,90,70,0,6,"6",0
246,90,71,0,9,"9",0
247,90,72,0,8,"8",0
248,91,4,0,8,"8",0
249,91,7,16,3,"3",0
250,91,34,6,4,"4",0
251,91,49,0,12,"12",0
252,91,58,25,2,"2",1
253,91,59,46,1,"1",5
254,91,60,3,5,"5",0
255,91,64,0,6,"6",0
256,91,67,0,9,"9",0
257,91,70,0,7,"7",0
258,91,71,0,10,"10",0
259,91,72,0,11,"11",0
260,92,4,0,8,"8",0
261,92,7,19,3,"3",0
262,92,34,6,4,"4",0
263,92,49,0,12,"12",0
264,92,58,28,2,"2",1
265,92,59,48,1,"1",6
266,92,60,3,5,"5",0
267,92,64,0,6,"6",0
268,92,67,0,9,"9",0
269,92,70,0,7,"7",0
270,92,71,0,10,"10",0
271,92,72,0,11,"11",0
272,93,4,0,10,"10",0
273,93,7,26,3,"3",1
274,93,34,6,4,"4",0
275,93,49,0,13,"13",0
276,93,57,1,7,"7",0
277,93,58,28,2,"2",1
278,93,59,48,1,"1",6
279,93,60,3,5,"5",0
280,93,64,0,9,"9",0
281,93,67,0,11,"11",0
282,93,70,0,8,"8",0
283,93,71,3,6,"6",0
284,93,72,0,12,"12",0
285,94,4,0,11,"11",0
286,94,7,26,3,"3",1
287,94,34,8,4,"4",0
288,94,49,0,13,"13",0
289,94,57,1,7,"7",0
290,94,58,34,2,"2",2
291,94,59,48,1,"1",6
292,94,60,3,5,"5",0
293,94,64,0,10,"10",0
294,94,67,0,12,"12",0
295,94,70,0,8,"8",0
296,94,71,3,6,"6",0
297,94,72,0,9,"9",0
298,95,7,6,2,"2",0
299,95,34,0,6,"6",0
300,95,55,0,7,"7",0
301,95,57,2,3,"3",0
302,95,59,1,4,"4",0
303,95,60,0,5,"5",0
304,95,74,9,1,"1",1
305,96,7,15,1,"1",1
306,96,34,0,6,"6",0
307,96,55,0,7,"7",0
308,96,57,2,3,"3",0
309,96,59,2,4,"4",0
310,96,60,0,5,"5",0
311,96,74,13,2,"2",1
312,97,7,24,1,"1",2
313,97,34,0,6,"6",0
314,97,55,0,7,"7",0
315,97,57,3,4,"4",0
316,97,59,4,3,"3",0
317,97,60,0,5,"5",0
318,97,74,13,2,"2",1
319,98,7,33,1,"1",3
320,98,34,1,5,"5",0
321,98,55,0,7,"7",0
322,98,57,9,3,"3",0
323,98,59,6,4,"4",0
324,98,60,0,6,"6",0
325,98,67,0,9,"9",0
326,98,74,17,2,"2",1
327,98,75,0,8,"8",0
328,99,7,42,1,"1",4
329,99,34,1,5,"5",0
330,99,55,0,8,"8",0
331,99,57,11,3,"3",0
332,99,59,9,4,"4",0
333,99,60,0,6,"6",0
334,99,67,0,10,"10",0
335,99,74,17,2,"2",1
336,99,75,0,9,"9",0
337,99,77,0,7,"7",0
338,100,7,42,1,"1",4
339,100,34,1,5,"5",0
340,100,55,0,8,"8",0
341,100,57,11,3,"3",0
342,100,59,10,4,"4",0
343,100,60,0,6,"6",0
344,100,67,0,11,"11",0
345,100,74,26,2,"2",2
346,100,75,0,9,"9",0
347,100,77,0,7,"7",0
348,100,78,0,10,"10",0
349,101,7,45,1,"1",5
350,101,34,3,5,"5",0
351,101,55,0,10,"10",0
352,101,57,17,3,"3",0
353,101,59,13,4,"4",0
354,101,60,0,6,"6",0
355,101,67,0,12,"12",0
356,101,74,26,2,"2",2
357,101,75,0,11,"11",0
358,101,77,0,7,"7",0
